y,u_ghia,u_solver,error
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.766000000000000236e-01,6.592799999999999772e-01,6.610397105135679130e-01,1.759710513567935841e-03
9.687999999999999945e-01,5.749199999999999866e-01,5.770741993148542637e-01,2.154199314854277070e-03
9.608999999999999764e-01,5.111700000000000133e-01,5.130277323557320690e-01,1.857732355732055751e-03
9.530999999999999472e-01,4.660400000000000098e-01,4.684508696120960325e-01,2.410869612096022685e-03
8.516000000000000236e-01,3.330400000000000027e-01,3.346281736355613545e-01,1.588173635561351826e-03
7.344000000000000528e-01,1.871899999999999953e-01,1.872766272368335261e-01,8.662723683353079629e-05
6.171999999999999709e-01,5.702000000000000124e-02,5.638842710928585605e-02,-6.315728907141451853e-04
5.000000000000000000e-01,-6.079999999999999988e-02,-6.199094010087691231e-02,-1.190940100876912433e-03
4.531000000000000028e-01,-1.064800000000000052e-01,-1.078580891686168747e-01,-1.378089168616869475e-03
2.812999999999999945e-01,-2.780500000000000194e-01,-2.793204704161713070e-01,-1.270470416171287642e-03
1.718999999999999972e-01,-3.828900000000000081e-01,-3.853045797986732746e-01,-2.414579798673266442e-03
1.015999999999999959e-01,-2.973000000000000087e-01,-2.962034942816248462e-01,1.096505718375162530e-03
7.030000000000000138e-02,-2.222000000000000086e-01,-2.194139412047647342e-01,2.786058795235274443e-03
6.250000000000000000e-02,-2.019600000000000006e-01,-1.991028471535849498e-01,2.857152846415050851e-03
5.469999999999999862e-02,-1.810900000000000010e-01,-1.783342135104801773e-01,2.755786489519823634e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
