y,u
0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,-1.567882119333702251e-02
7.812500000000000000e-03,-3.079270874046027839e-02
1.171875000000000000e-02,-4.536835332894201267e-02
1.562500000000000000e-02,-5.943045200671448480e-02
1.953125000000000000e-02,-7.300380072552503652e-02
2.343750000000000000e-02,-8.611479686209189133e-02
2.734375000000000000e-02,-9.879234502637790349e-02
3.125000000000000000e-02,-1.110681940355926489e-01
3.515625000000000000e-02,-1.229767616231682847e-01
3.906250000000000000e-02,-1.345545262458975877e-01
4.296875000000000000e-02,-1.458390819251582649e-01
4.687500000000000000e-02,-1.568679620214212811e-01
5.078125000000000000e-02,-1.676773409538792059e-01
5.468750000000000000e-02,-1.783007192133245766e-01
5.859375000000000000e-02,-1.887676870744501301e-01
6.250000000000000000e-02,-1.991028471535849498e-01
6.640625000000000000e-02,-2.093249567644002163e-01
7.031250000000000000e-02,-2.194463295978317241e-01
7.421875000000000000e-02,-2.294725144428713115e-01
7.812500000000000000e-02,-2.394022482724031953e-01
8.203125000000000000e-02,-2.492276635945218644e-01
8.593750000000000000e-02,-2.589347166499176289e-01
8.984375000000000000e-02,-2.685037944295110002e-01
9.375000000000000000e-02,-2.779104546448016855e-01
9.765625000000000000e-02,-2.871262532450291616e-01
1.015625000000000000e-01,-2.961196179798006867e-01
1.054687500000000000e-01,-3.048567327531532811e-01
1.093750000000000000e-01,-3.133024049387516108e-01
1.132812500000000000e-01,-3.214208953555082182e-01
1.171875000000000000e-01,-3.291766973855372314e-01
1.210937500000000000e-01,-3.365352571901412126e-01
1.250000000000000000e-01,-3.434636308888143752e-01
1.289062500000000000e-01,-3.499310769308925373e-01
1.328125000000000000e-01,-3.559095829399452349e-01
1.367187500000000000e-01,-3.613743264060484961e-01
1.406250000000000000e-01,-3.663040681466371851e-01
1.445312500000000000e-01,-3.706814768356343492e-01
1.484375000000000000e-01,-3.744933824251734933e-01
1.523437500000000000e-01,-3.777309561678308114e-01
1.562500000000000000e-01,-3.803898152998099746e-01
1.601562500000000000e-01,-3.824700512824072973e-01
1.640625000000000000e-01,-3.839761817604676608e-01
