x,v_ghia,v_solver,error
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.687999999999999945e-01,-1.214599999999999985e-01,-1.244165352167105193e-01,-2.956535216710520775e-03
9.608999999999999764e-01,-1.566299999999999915e-01,-1.606633101226477567e-01,-4.033310122647765228e-03
9.530999999999999472e-01,-1.925399999999999889e-01,-1.971010819955058835e-01,-4.561081995505894549e-03
9.453000000000000291e-01,-2.284700000000000064e-01,-2.334423904550299578e-01,-4.972390455029951362e-03
9.062999999999999945e-01,-2.382700000000000096e-01,-3.878798259520446767e-01,-1.496098259520446672e-01
8.594000000000000528e-01,-4.499299999999999966e-01,-4.523099915379095171e-01,-2.379991537909520449e-03
8.046999999999999709e-01,-3.859799999999999898e-01,-3.848831476396005757e-01,1.096852360399414028e-03
5.000000000000000000e-01,5.186000000000000332e-02,5.219052053684869463e-02,3.305205368486913153e-04
2.343999999999999972e-01,3.017400000000000082e-01,3.023065612355679277e-01,5.665612355679194856e-04
2.265999999999999959e-01,3.020300000000000207e-01,3.026515726848489352e-01,6.215726848489144807e-04
1.562999999999999945e-01,2.812399999999999900e-01,2.822546523559238962e-01,1.014652355923906235e-03
9.379999999999999449e-02,2.296499999999999930e-01,2.305703215434070363e-01,9.203215434070433076e-04
7.810000000000000275e-02,2.091999999999999971e-01,2.098895057705622291e-01,6.895057705622320565e-04
7.030000000000000138e-02,1.971299999999999997e-01,1.977612799438578650e-01,6.312799438578653444e-04
6.250000000000000000e-02,1.836000000000000132e-01,1.841628371500335648e-01,5.628371500335516142e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
