x,v
0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,1.628846704908518128e-02
7.812500000000000000e-03,3.186164092229305106e-02
1.171875000000000000e-02,4.673346310316621455e-02
1.562500000000000000e-02,6.091852074804243039e-02
1.953125000000000000e-02,7.443221127769113210e-02
2.343750000000000000e-02,8.729086859935901443e-02
2.734375000000000000e-02,9.951184776047719560e-02
3.125000000000000000e-02,1.111135671613067977e-01
3.515625000000000000e-02,1.221155093204708830e-01
3.906250000000000000e-02,1.325381826522155082e-01
4.296875000000000000e-02,1.424030478271073874e-01
4.687500000000000000e-02,1.517324130928565662e-01
5.078125000000000000e-02,1.605493034685534504e-01
5.468750000000000000e-02,1.688773090296975532e-01
5.859375000000000000e-02,1.767404176060799470e-01
6.250000000000000000e-02,1.841628371500335648e-01
6.640625000000000000e-02,1.911688128272447385e-01
7.031250000000000000e-02,1.977824435622097532e-01
7.421875000000000000e-02,2.040275023598840942e-01
7.812500000000000000e-02,2.099272642466374350e-01
8.203125000000000000e-02,2.155043451477354211e-01
8.593750000000000000e-02,2.207805544642222895e-01
8.984375000000000000e-02,2.257767635463592271e-01
9.375000000000000000e-02,2.305127916988092274e-01
9.765625000000000000e-02,2.350073108080139583e-01
1.015625000000000000e-01,2.392777691663183770e-01
1.054687500000000000e-01,2.433403345898597081e-01
1.093750000000000000e-01,2.472098564959721578e-01
1.132812500000000000e-01,2.508998462267877372e-01
1.171875000000000000e-01,2.544224745826144662e-01
1.210937500000000000e-01,2.577885852642110009e-01
1.250000000000000000e-01,2.610077227174287806e-01
1.289062500000000000e-01,2.640881727260029344e-01
1.328125000000000000e-01,2.670370140060671638e-01
1.367187500000000000e-01,2.698601790153767332e-01
1.406250000000000000e-01,2.725625221968632772e-01
1.445312500000000000e-01,2.751478939240010746e-01
1.484375000000000000e-01,2.776192184987240630e-01
1.523437500000000000e-01,2.799785746648915108e-01
1.562500000000000000e-01,2.822272772347522718e-01
1.601562500000000000e-01,2.843659585762843278e-01
1.640625000000000000e-01,2.863946488694231185e-01
1.679687500000000000e-01,2.883128542036317299e-01
1.718750000000000000e-01,2.901196317525256418e-01
1.757812500000000000e-01,2.918136614193365119e-01
1.796875000000000000e-01,2.933933134962449785e-01
1.835937500000000000e-01,2.948567120178617884e-01
1.875000000000000000e-01,2.962017936127185891e-01
1.914062500000000000e-01,2.974263617649937075e-01
1.953125000000000000e-01,2.985281364911607227e-01
1.992187500000000000e-01,2.995047995127935181e-01
2.031250000000000000e-01,3.003540350678672866e-01
2.070312500000000000e-01,3.010735665493751156e-01
2.109375000000000000e-01,3.016611891931155753e-01
2.148437500000000000e-01,3.021147990575761000e-01
2.187500000000000000e-01,3.024324185494293715e-01
2.226562500000000000e-01,3.026122187500295269e-01
2.265625000000000000e-01,3.026525387929561717e-01
2.304687500000000000e-01,3.025519025317882083e-01
2.343750000000000000e-01,3.023090327222686113e-01
2.382812500000000000e-01,3.019228629252879159e-01
2.421875000000000000e-01,3.013925473179046577e-01
2.460937500000000000e-01,3.007174685797178171e-01
2.500000000000000000e-01,2.998972440024205710e-01
2.539062500000000000e-01,2.989317299519740345e-01
2.578125000000000000e-01,2.978210247957120416e-01
2.617187500000000000e-01,2.965654703915658885e-01
2.656250000000000000e-01,2.951656522238605973e-01
2.695312500000000000e-01,2.936223982590187020e-01
2.734375000000000000e-01,2.919367765862102004e-01
2.773437500000000000e-01,2.901100919015586754e-01
2.812500000000000000e-01,2.881438808902245796e-01
2.851562500000000000e-01,2.860399065582068800e-01
2.890625000000000000e-01,2.838001515648045370e-01
2.929687500000000000e-01,2.814268106073853914e-01
2.968750000000000000e-01,2.789222819116012886e-01
3.007812500000000000e-01,2.762891578828963191e-01
3.046875000000000000e-01,2.735302149782441461e-01
3.085937500000000000e-01,2.706484028606617187e-01
3.125000000000000000e-01,2.676468329026704396e-01
3.164062500000000000e-01,2.645287661086719311e-01
3.203125000000000000e-01,2.612976005295521986e-01
3.242187500000000000e-01,2.579568582459810244e-01
3.281250000000000000e-01,2.545101719993994038e-01
3.320312500000000000e-01,2.509612715516862380e-01
3.359375000000000000e-01,2.473139698557691446e-01
3.398437500000000000e-01,2.435721491200375510e-01
3.437500000000000000e-01,2.397397468492155070e-01
3.476562500000000000e-01,2.358207419433000496e-01
3.515625000000000000e-01,2.318191409345704557e-01
3.554687500000000000e-01,2.277389644400695801e-01
3.593750000000000000e-01,2.235842339038285331e-01
3.632812500000000000e-01,2.193589586993507368e-01
3.671875000000000000e-01,2.150671236583203694e-01
3.710937500000000000e-01,2.107126770866525334e-01
3.750000000000000000e-01,2.062995193237551206e-01
3.789062500000000000e-01,2.018314918947350378e-01
3.828125000000000000e-01,1.973123672997374456e-01
3.867187500000000000e-01,1.927458394781158546e-01
3.906250000000000000e-01,1.881355149785477465e-01
3.945312500000000000e-01,1.834849048604105803e-01
3.984375000000000000e-01,1.787974173446151838e-01
4.023437500000000000e-01,1.740763512261711554e-01
4.062500000000000000e-01,1.693248900546766578e-01
4.101562500000000000e-01,1.645460970825887159e-01
4.140625000000000000e-01,1.597429109757264598e-01
4.179687500000000000e-01,1.549181422749512649e-01
4.218750000000000000e-01,1.500744705928589440e-01
4.257812500000000000e-01,1.452144425246810755e-01
4.296875000000000000e-01,1.403404702482511368e-01
4.335937500000000000e-01,1.354548307838943089e-01
4.375000000000000000e-01,1.305596658818206635e-01
4.414062500000000000e-01,1.256569825014075548e-01
4.453125000000000000e-01,1.207486538440250001e-01
4.492187500000000000e-01,1.158364208991233824e-01
4.531250000000000000e-01,1.109218944612990754e-01
4.570312500000000000e-01,1.060065575746076405e-01
4.609375000000000000e-01,1.010917683596748162e-01
4.648437500000000000e-01,9.617876317809681552e-02
4.687500000000000000e-01,9.126866008863920854e-02
4.726562500000000000e-01,8.636246254957491431e-02
4.765625000000000000e-01,8.146106332178071341e-02
4.804687500000000000e-01,7.656524852788670898e-02
4.843750000000000000e-01,7.167570182333093953e-02
4.882812500000000000e-01,6.679300863645920572e-02
4.921875000000000000e-01,6.191766043571611533e-02
4.960937500000000000e-01,5.705005898338733061e-02
5.000000000000000000e-01,5.219052053684869463e-02
5.039062500000000000e-01,4.733927995981623837e-02
5.078125000000000000e-01,4.249649470764005343e-02
5.117187500000000000e-01,3.766224865253953169e-02
5.156250000000000000e-01,3.283655571632237979e-02
5.195312500000000000e-01,2.801936327993637121e-02
5.234375000000000000e-01,2.321055534097560269e-02
5.273437500000000000e-01,1.840995539225254163e-02
5.312500000000000000e-01,1.361732899609613412e-02
5.351562500000000000e-01,8.832386031029315632e-03
5.390625000000000000e-01,4.054782589397731840e-03
5.429687500000000000e-01,-7.158774939490797351e-04
5.468750000000000000e-01,-5.480041499540178052e-03
5.507812500000000000e-01,-1.023820708382139344e-02
5.546875000000000000e-01,-1.499092195634510460e-02
5.585937500000000000e-01,-1.973878398550787949e-02
5.625000000000000000e-01,-2.448244174279423646e-02
5.664062500000000000e-01,-2.922259549317374194e-02
5.703125000000000000e-01,-3.395999863692189535e-02
5.742187500000000000e-01,-3.869545960552400743e-02
5.781250000000000000e-01,-4.342984421145956730e-02
5.820312500000000000e-01,-4.816407844877623745e-02
5.859375000000000000e-01,-5.289915173760029177e-02
5.898437500000000000e-01,-5.763612060195910658e-02
5.937500000000000000e-01,-6.237611276625543155e-02
5.976562500000000000e-01,-6.712033165046094041e-02
6.015625000000000000e-01,-7.187006123897887733e-02
6.054687500000000000e-01,-7.662667129198297289e-02
6.093750000000000000e-01,-8.139162286099121957e-02
6.132812500000000000e-01,-8.616647406307542667e-02
6.171875000000000000e-01,-9.095288605934470638e-02
6.210937500000000000e-01,-9.575262917381976990e-02
6.250000000000000000e-01,-1.005675890781887460e-01
6.289062500000000000e-01,-1.053997729563054264e-01
6.328125000000000000e-01,-1.102513155491848806e-01
6.367187500000000000e-01,-1.151244849670156611e-01
6.406250000000000000e-01,-1.200216881392499602e-01
6.445312500000000000e-01,-1.249454757566290652e-01
6.484375000000000000e-01,-1.298985465408755147e-01
6.523437500000000000e-01,-1.348837506578224321e-01
6.562500000000000000e-01,-1.399040920684324618e-01
6.601562500000000000e-01,-1.449627295898956447e-01
6.640625000000000000e-01,-1.500629764147536349e-01
6.679687500000000000e-01,-1.552082978111481992e-01
6.718750000000000000e-01,-1.604023067013695680e-01
6.757812500000000000e-01,-1.656487567890270185e-01
6.796875000000000000e-01,-1.709515328779129817e-01
6.835937500000000000e-01,-1.763146379986313406e-01
6.875000000000000000e-01,-1.817421769322216107e-01
6.914062500000000000e-01,-1.872383356941451638e-01
6.953125000000000000e-01,-1.928073565184416083e-01
6.992187500000000000e-01,-1.984535078600515590e-01
7.031250000000000000e-01,-2.041810489159114894e-01
7.070312500000000000e-01,-2.099941881525211329e-01
7.109375000000000000e-01,-2.158970353204878734e-01
7.148437500000000000e-01,-2.218935464377960187e-01
7.187500000000000000e-01,-2.279874612335657247e-01
7.226562500000000000e-01,-2.341822325655638082e-01
7.265625000000000000e-01,-2.404809473600018066e-01
7.304687500000000000e-01,-2.468862386728112313e-01
7.343750000000000000e-01,-2.534001885409011834e-01
7.382812500000000000e-01,-2.600242213824834892e-01
7.421875000000000000e-01,-2.667589878196103825e-01
7.460937500000000000e-01,-2.736042389371942107e-01
7.500000000000000000e-01,-2.805586911636623881e-01
7.539062500000000000e-01,-2.876198821612749867e-01
7.578125000000000000e-01,-2.947840183521694968e-01
7.617187500000000000e-01,-3.020458149805165249e-01
7.656250000000000000e-01,-3.093983299237965667e-01
7.695312500000000000e-01,-3.168327928171308372e-01
7.734375000000000000e-01,-3.243384314424631043e-01
7.773437500000000000e-01,-3.319022977576615574e-01
7.812500000000000000e-01,-3.395090963942966056e-01
7.851562500000000000e-01,-3.471410189298449467e-01
7.890625000000000000e-01,-3.547775877321210913e-01
7.929687500000000000e-01,-3.623955136675007793e-01
7.968750000000000000e-01,-3.699685724442822732e-01
8.007812500000000000e-01,-3.774675048100819552e-01
8.046875000000000000e-01,-3.848599462135622318e-01
8.085937500000000000e-01,-3.921103918505535191e-01
8.125000000000000000e-01,-3.991802032139819545e-01
8.164062500000000000e-01,-4.060276623240310911e-01
8.203125000000000000e-01,-4.126080796973257137e-01
8.242187500000000000e-01,-4.188739617899104317e-01
8.281250000000000000e-01,-4.247752430877040908e-01
8.320312500000000000e-01,-4.302595871942900274e-01
8.359375000000000000e-01,-4.352727601604584606e-01
8.398437500000000000e-01,-4.397590779031101960e-01
8.437500000000000000e-01,-4.436619278755822293e-01
8.476562500000000000e-01,-4.469243631942720896e-01
8.515625000000000000e-01,-4.494897652319131964e-01
8.554687500000000000e-01,-4.513025683076525851e-01
8.593750000000000000e-01,-4.523090376092575582e-01
8.632812500000000000e-01,-4.524580889611282686e-01
8.671875000000000000e-01,-4.517021366073876720e-01
8.710937500000000000e-01,-4.499979529268207656e-01
8.750000000000000000e-01,-4.473075220571187671e-01
8.789062500000000000e-01,-4.435988679012967673e-01
8.828125000000000000e-01,-4.388468360309145666e-01
8.867187500000000000e-01,-4.330338086864569114e-01
8.906250000000000000e-01,-4.261503324774382762e-01
8.945312500000000000e-01,-4.181956395446011499e-01
8.984375000000000000e-01,-4.091780448696571426e-01
9.023437500000000000e-01,-3.991152050693740350e-01
9.062500000000000000e-01,-3.880342273146801801e-01
9.101562500000000000e-01,-3.759716208587788877e-01
9.140625000000000000e-01,-3.629730878932109217e-01
9.179687500000000000e-01,-3.490931549050311222e-01
9.218750000000000000e-01,-3.343946501928700688e-01
9.257812500000000000e-01,-3.189480375205273610e-01
9.296875000000000000e-01,-3.028306198564223450e-01
9.335937500000000000e-01,-2.861256305949957390e-01
9.375000000000000000e-01,-2.689212324381727859e-01
9.414062500000000000e-01,-2.513094461215436004e-01
9.453125000000000000e-01,-2.333850323309000219e-01
9.492187500000000000e-01,-2.152443504418202203e-01
9.531250000000000000e-01,-1.969842171423892840e-01
9.570312500000000000e-01,-1.787007866204138873e-01
9.609375000000000000e-01,-1.604884719013445760e-01
9.648437500000000000e-01,-1.424389242317190551e-01
9.687500000000000000e-01,-1.246400842590655311e-01
9.726562500000000000e-01,-1.071753153250779855e-01
9.765625000000000000e-01,-9.012262563728692943e-02
9.804687500000000000e-01,-7.355398259409240413e-02
9.843750000000000000e-01,-5.753471928756697523e-02
9.882812500000000000e-01,-4.212303037174425224e-02
9.921875000000000000e-01,-2.736955222627708226e-02
9.960937500000000000e-01,-1.331702081801270157e-02
1.000000000000000000e+00,0.000000000000000000e+00
